"year","type","title","authors","venue"
"2026","Conference","Sequence-Level Context Modeling for Continuous Sign Language Recognition","Hoyeon Jeong, Seungkyu Lee","Learning Beyond Deep Learning, International Conference on Image Processing (ICIP), 2026"
"2026","Conference","CGFF: Video Style Transfer with Confidence-Guided Frame Fusion","Jumyeong Kwon, Seungkyu Lee","International Conference on Pattern Recognition (ICPR) , 2026"
"2025","Conference","Beta-Sigma VAE: Separating beta and decoder variance in Gaussian variational autoencoder","Seunghwan Kim, Seungkyu Lee","International Conference on Pattern Recognition (ICPR) , 2025"
"2025","Conference","Joint-Temporal Action Segmentation via Multi-Action Recognition","Usfita Kiftiyani, Seungkyu Lee","International Conference on Pattern Recognition (ICPR) , 2025"
"2024","Conference","Neural Clustering for Prefractured Mesh Generation in Real-time Object Destruction","Seunghwan Kim, Sunha Park, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2024"
"2024","Conference","Strainer GAN: Filtering out Impure Samples in GAN Training","Jiho Shin, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2024"
"2024","Conference","Multimodal Learning for Autoencoders","Wajahat Ali Khan, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2024"
"2024","Conference","Style Transfer with Gesture Style Generator","Dayeon Lee, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2024"
"2024","Conference","Controlling Cross-Content Motion Style Transfer via Statistical Style Difference","Usfita Kiftiyani, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2024"
"2023","Journal","Revisiting the Effectiveness of 3D Object Recognition Benchmarks","Hyunsoo Song, Seungkyu Lee","IEEE Access"
"2022","Conference","MaterialNet: Multi-scale Texture Hierarchy and Multi-view Surface Reflectance for Material Type Recognition","Dongjin Lee, Hyun Cheol Kim, Jeongil Seo, Seungkyu Lee","33rd British Machine Vision Conference Proceedings, BMVC 2022"
"2022","Conference","Internal-External Boundary Attentions for Transparent Object Segmentation","Dongshen Han, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2022"
"2022","Conference","Class specific biased extrapolation of images in latent space for imbalanced image classification","Suhyeon Jeong and Seungkyu Lee","SPIE Electronic Imaging, 2022"
"2022","Conference","INDeeD: Identical and disparate feature decomposition from multi-label data","Tserendorj Adiya and Seungkyu Lee","SPIE Electronic Imaging, 2022"
"2021","Conference","Continual Learning with Neuron Activation Importance","Sohee Kim, Seungkyu Lee","International Conference on Image Analysis and Processing, 2021"
"2021","Conference","Class Balanced Sampling for the Training in GANs","Sanghun Kim, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2021"
"2021","Conference","Occlusion Robust Part-aware Object Classification through Part Attention and Redundant Features Suppression","Sohee Kim, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2021"
"2021","Conference","Deep Color-Normal Residual Networks for Geometry Refinement Extracting Color Consistency and Fine Geometry","Min Geun Park, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2021"
"2021","Journal","Material Type Recognition of Indoor Scenes via Surface Reflectance Estimation","SeokYeong Lee, Dongjin Lee, Hyun-Cheol Kim, Seungkyu Lee","IEEE Access"
"2021","Workshop","Biased Extrapolation in Latent Space for Imbalanced Deep Learning","Suhyeon Jeong, Seungkyu Lee","Machine Learning in Medical Imaging (MICCAI Workshop), 2021"
"2021","Preprint","Unrealistic Feature Suppression for Generative Adversarial Networks","Sanghun Kim and Seungkyu Lee","arXiv:2107.11047"
"2021","Preprint","Continual Learning with Neuron Activation Importance","Sohee Kim and Seungkyu Lee","arXiv:2107.12657"
"2021","Journal","Learning Individual Class Representation from Biased Multi-label Data","Tserendorj Adiya, Seungkyu Lee","IEEE Access"
"2021","Conference","Cross Sample Similarity for Stable Training of GAN","Jungeun Lee, Seungkyu Lee","ACM SIGGRAPH (SIGGRAPH Poster), 2021"
"2021","Conference","Segmented Organ Specific Image Enhancement for Improved Lesion Classification","Dongwook Shin, Seungkyu Lee","IEEE International Symposium on Biomedical Imaging (ISBI Abstract), 2021"
"2021","Journal","Object-Wise Video Editing","Ashraf Siddique and Seungkyu Lee","Applied Sciences"
"2021","Journal","Deep Spatio-focal Network for Depth from Focus","Sherzod Salokhiddinov and Seungkyu Lee","Journal of Imaging Science and Technology"
"2020","Journal","Iterative refinement of uniformly focused image set for accurate depth","Sherzod Salokhiddinov and Seungkyu Lee","Applied Sciences"
"2020","Preprint","Sub-clusters of Normal Data for Anomaly Detection","Gahye Lee and Seungkyu Lee","arXiv:2011.08408"
"2020","Preprint","Mode Penalty Generative Adversarial Network with adapted Auto-encoder","Gahye Lee and Seungkyu Lee","arXiv:2011.07706"
"2020","Conference","Surface IR Reflectance Estimation and Material Recognition using ToF Camera","SeokYeong Lee, Seungkyu Lee","International Conference on Pattern Recognition (ICPR) , 2020"
"2020","Conference","JT-MGCN: Joint-temporal Motion Graph Convolutional Network for Skeleton-Based Action Recognition","Suekyeong Nam, Seungkyu Lee","International Conference on Pattern Recognition (ICPR) , 2020"
"2020","Journal","Decision Boundary Re-sampling in Imbalanced Learning for Ulcer Detection","Changhoo Lee, Dongwook Shin, Junki Min, Jaemyung Cha, Seungkyu Lee","IEEE Access"
"2020","Conference","Realistic haptic rendering of hyper-elastic material via measurement-based FEM model identification and real-time simulation","A Abdulali, Ibragim Atadjanov, Seungkyu Lee, S Jeon","Computers & Graphics"
"2019","Conference","IR Surface Reflectance Estimation and Material Type Recognition using Two-stream Net and Kinect Camera","SeokYeong Lee, HwaSup Lim, SangChul Ahn, Seungkyu Lee","ACM SIGGRAPH (SIGGRAPH Poster), 2019"
"2019","Conference","Measurement-based Hyper-elastic Material Identification and Real-time FEM Simulation for Haptic Rendering","A Abdulali, Ibragim Atadjanov, Seungkyu Lee, S Jeon","ACM Symposium on Virtual Reality Software and Technology, 2019"
"2019","Journal","Perceptually Maximized Light Ray Synthesis with Only Two-Layered Light Field Display","Ibragim Atadjanov, Seungkyu Lee","Journal of Imaging Science and Technology, 2019"
"2019","Conference","Feature Space Extrapolation for Ulcer Classification in Wireless Capsule Endoscopy Images","Changhoo Lee, Junki Min, Jaemyung Cha, Seungkyu Lee","IEEE International Symposium on Biomedical Imaging (ISBI), 2019"
"2018","Conference","Translucent Surface Detection by Raycasting through Multiple Depth Images","Seungpyo Ha, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
"2018","Conference","GAN with Autoencoder and Importance Sampling","Gahye Lee, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
"2018","Conference","Hunting Out Graphic Images from Real images using Recurrent Neural Network and Extended Principal Color Components","Gahye Lee, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
"2018","Conference","PPConv: Polypod Convolution for 3D Point Cloud Description","Hyunsoo Song, Seungkyu Lee","ACM SIGGRAPH Asia (SIGGRAPH Asia Poster), 2018"
